Family,Genus,Species,Body mass (g),Bill length (mm),Tarsus length (mm),Middle Toe length (mm),Tarsometatarsus+middle toe length (mm),Midpoint latitude (degrees from equator),Midpoint altitude (m),Minimum temperature at midpoint of range (degrees Celsius),References
Sternidae,Anous,stolidus,198,41,,,52,5.93,,26.14,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
Sternidae,Anous,tenuirostris,111,38,,,53,10.98,,27.43,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
Sternidae,Childonias,hybridus,88,29,,,37,9.05,,23.33,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
Sternidae,Childonias,niger,65,28,,,29,48.76,,9.98,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
Sternidae,Gygis,alba,111,39,,,32,4.69,,28.8,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
Sternidae,Larosterna,inca,180,44,,,45,12.89,,26.73,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
Sternidae,Sterna,albifrons,57,29,,,29,12.22,,24.56,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
Sternidae,Sterna,anaethetus,96,43,,,,4.13,,15.03,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
Sternidae,Sterna,bengalensis,204,55,,,46,0.47,,27.25,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
Sternidae,Sterna,bergii,342,59,,,50,4.84,,21.84,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
Sternidae,Sterna,fuscata,180,42,,,42,2.33,,22.13,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
Sternidae,Sterna,hirundo,120,37,,,34,37.77,,13.27,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
Sternidae,Sterna,lunata,146,,,,58,2.46,,29.02,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
Sternidae,Sterna,maxima,419,66,,,,3.17,,21.69,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
Sternidae,Sterna,paradisaea,110,33,,,29,59.23,,12.27,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
Sternidae,Sterna,repressa,90,35,,,34,13.05,,26.5,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
Sternidae,Sterna,sandvicensis,208,53,,,44,6.18,,22.3,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
Sternidae,Sterna,striata,160,40,,,,44.51,,4.2,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
Sternidae,Sterna,sumatrana,100,35,,,37,3.68,,28.5,"Nudds and Oswald (2007), Pringle (1987), Urban et al. (1986)"
